"shot_id","shot_made_flag"
1,5.02566700423429e-06
8,1.90029248625906e-05
17,0.000105127761062661
20,0.000105783966744391
33,4.9761765749803e-06
34,4.74859012922876e-06
35,2.18340766367789e-05
36,1.76423503633394e-05
37,6.44536180137098e-05
38,3.64055282209477e-06
45,1.49677140375939e-05
50,3.15071723617553e-06
55,1.1226554757215e-06
60,1.28203791303637e-06
66,9.58255134823854e-06
67,5.84677235726697e-06
71,5.36015274279448e-06
80,9.1824471454918e-06
85,1.23099266325057e-05
86,1.08798905763705e-05
95,1.04863704753555e-05
104,3.51174515448106e-06
113,2.79665856424566e-06
123,4.80194754083626e-06
126,1.39259751020575e-05
133,6.01443476775365e-05
141,9.22941657647151e-06
144,2.51110519108405e-06
150,9.95412407677218e-05
152,1.11492734397567e-05
153,9.9871537093236e-05
156,1.73581056283532e-05
159,0.000382644741289387
165,8.2464912341319e-05
172,4.63036617775035e-06
182,0.000424842246956507
192,4.95787758282704e-06
193,0.000104996097837679
196,5.58012077405185e-06
202,4.99107458724651e-06
210,1.00721775948725e-06
211,2.78859867490656e-06
228,0.00143632417384141
257,4.47055288271413e-06
260,4.47055288271413e-06
264,4.2451166159395e-06
267,1.00951672907542e-05
279,0.000610499318117818
282,4.03407753657506e-06
293,8.65862386523143e-06
299,1.91738714591369e-05
300,9.0496255981565e-06
301,1.77994628968833e-05
317,1.18961589874402e-06
327,1.87912554279541e-06
328,5.65326057686036e-06
335,2.06451752097263e-05
346,4.528318334311e-05
348,1.22444451451718e-05
365,1.1584059375644e-05
390,7.15005295167712e-05
391,7.15880288712308e-05
392,3.14155685997457e-05
397,1.54105555992495e-06
418,2.58482039108722e-06
428,5.54189259788607e-06
434,9.6228398428714e-06
439,2.06515940299607e-05
440,2.00286231673107e-06
456,4.71277514701716e-06
459,1.30137123536762e-05
472,4.49487398647294e-06
480,3.89371850730933e-06
491,1.43796373673857e-06
497,5.1501426364613e-06
509,5.12109062211842e-06
511,1.83843732967505e-06
523,1.4124628469962e-05
533,5.51957713944103e-06
544,1.95987896385338e-05
546,2.64591123546883e-06
555,7.23882301052712e-05
558,5.14602911013291e-06
560,4.64231942594623e-06
573,5.06994044775009e-06
591,4.24704641209437e-06
596,8.61072801937594e-06
597,2.45325752606942e-06
601,7.11902474877842e-06
605,4.57649228273112e-06
617,6.07131441804535e-06
628,3.37041422938424e-06
634,4.99908381682308e-06
646,1.28273381858118e-05
649,2.86100986479644e-06
651,7.14107896056894e-05
654,8.1822958229968e-05
656,2.06941193822383e-05
657,1.3985590421675e-05
669,5.3570252858616e-06
670,0.000616658503601054
693,1.40707847340715e-05
694,3.56901996878698e-06
699,1.16285093695061e-05
